GENDER,ETHNICITY,PARENTAL LEVEL OF EDUCATION,LUNCH,TEST PREPARATION COURSE,MATH SCORE,READING SCORE,WRITING SCORE
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,65,64,62
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,68,60,53
MALE,GROUP A,SOME HIGH SCHOOL,STANDARD,COMPLETED,47,49,49
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,71,83,83
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,60,70,70
MALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,80,80,72
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,54,52,52
FEMALE,GROUP E,SOME COLLEGE,STANDARD,NONE,62,73,70
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,64,73,68
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,78,77,77
FEMALE,GROUP B,SOME COLLEGE,STANDARD,NONE,70,75,78
FEMALE,GROUP C,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,65,81,81
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,64,79,77
MALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,79,79,78
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,44,50,51
FEMALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,99,93,90
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,76,73,68
MALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,59,42,41
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,63,75,81
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,69,72,77
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,88,92,95
FEMALE,GROUP E,SOME COLLEGE,FREE/REDUCED,NONE,71,76,70
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,69,63,61
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,58,49,42
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,47,53,58
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,65,70,71
MALE,GROUP B,SOME COLLEGE,STANDARD,COMPLETED,88,85,76
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,83,78,73
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,85,92,93
FEMALE,GROUP E,HIGH SCHOOL,STANDARD,COMPLETED,59,63,75
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,65,86,80
MALE,GROUP B,BACHELOR'S DEGREE,FREE/REDUCED,NONE,73,56,57
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,53,52,42
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,45,48,46
FEMALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,NONE,73,79,84
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,COMPLETED,70,78,78
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,37,46,46
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,81,82,82
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,97,82,88
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,67,89,82
MALE,GROUP B,BACHELOR'S DEGREE,FREE/REDUCED,NONE,88,75,76
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,COMPLETED,77,76,77
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,76,70,68
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,86,73,70
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,63,60,57
FEMALE,GROUP E,BACHELOR'S DEGREE,STANDARD,NONE,65,73,75
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,COMPLETED,78,77,80
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,67,62,60
MALE,GROUP A,SOME HIGH SCHOOL,STANDARD,COMPLETED,46,41,43
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,71,74,68
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,COMPLETED,40,46,50
MALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,90,87,75
MALE,GROUP A,SOME COLLEGE,FREE/REDUCED,COMPLETED,81,78,81
MALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,56,54,52
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,67,84,81
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,80,76,64
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,74,75,83
MALE,GROUP A,SOME COLLEGE,STANDARD,NONE,69,67,69
MALE,GROUP E,SOME COLLEGE,STANDARD,COMPLETED,99,87,81
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,51,52,44
FEMALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,53,71,67
FEMALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,49,57,52
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,73,76,80
MALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,66,60,57
MALE,GROUP D,BACHELOR'S DEGREE,STANDARD,COMPLETED,67,61,68
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,68,67,69
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,59,64,75
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,71,66,65
FEMALE,GROUP D,MASTER'S DEGREE,STANDARD,COMPLETED,77,82,91
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,83,72,78
MALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,63,71,69
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,56,65,63
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,COMPLETED,67,79,84
FEMALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,75,86,79
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,71,81,80
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,43,53,53
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,41,46,43
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,82,90,94
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,61,61,62
MALE,GROUP A,SOME COLLEGE,FREE/REDUCED,NONE,28,23,19
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,82,75,77
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,41,55,51
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,71,60,61
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,47,37,35
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,62,56,53
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,90,78,81
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,83,93,95
FEMALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,61,68,66
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,76,70,69
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,49,51,43
FEMALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,NONE,24,38,27
FEMALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,35,55,60
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,58,61,52
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,61,73,63
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,COMPLETED,69,76,74
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,67,72,67
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,79,73,67
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,72,80,75
MALE,GROUP B,SOME COLLEGE,STANDARD,NONE,62,61,57
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,77,94,95
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,75,74,66
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,87,74,76
FEMALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,52,65,69
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,66,57,52
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,63,78,80
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,46,58,57
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,59,71,70
FEMALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,61,72,70
MALE,GROUP A,ASSOCIATE'S DEGREE,STANDARD,NONE,63,61,61
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,COMPLETED,42,66,69
MALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,59,62,61
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,80,90,89
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,58,62,59
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,85,84,78
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,52,58,58
FEMALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,27,34,32
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,59,60,58
MALE,GROUP A,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,49,58,60
MALE,GROUP C,HIGH SCHOOL,STANDARD,COMPLETED,69,58,53
MALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,NONE,61,66,61
FEMALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,44,64,58
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,73,84,85
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,84,77,71
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,COMPLETED,45,73,70
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,74,74,72
FEMALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,82,97,96
FEMALE,GROUP D,BACHELOR'S DEGREE,STANDARD,NONE,59,70,73
MALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,46,43,41
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,80,90,82
FEMALE,GROUP D,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,85,95,100
FEMALE,GROUP A,SOME HIGH SCHOOL,STANDARD,NONE,71,83,77
MALE,GROUP A,BACHELOR'S DEGREE,STANDARD,NONE,66,64,62
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,80,86,83
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,87,100,95
MALE,GROUP C,MASTER'S DEGREE,FREE/REDUCED,NONE,79,81,71
FEMALE,GROUP E,SOME HIGH SCHOOL,FREE/REDUCED,NONE,38,49,45
FEMALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,38,43,43
FEMALE,GROUP E,SOME COLLEGE,STANDARD,NONE,67,76,75
FEMALE,GROUP E,BACHELOR'S DEGREE,STANDARD,NONE,64,73,70
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,57,78,67
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,62,64,64
MALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,73,70,75
MALE,GROUP E,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,73,67,59
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,77,68,77
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,76,67,67
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,57,54,56
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,65,74,77
MALE,GROUP A,HIGH SCHOOL,FREE/REDUCED,NONE,48,45,41
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,50,67,63
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,85,89,95
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,74,63,57
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,60,59,54
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,59,54,67
MALE,GROUP A,SOME COLLEGE,STANDARD,NONE,53,43,43
FEMALE,GROUP A,SOME COLLEGE,FREE/REDUCED,NONE,49,65,55
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,COMPLETED,88,99,100
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,54,59,62
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,63,73,68
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,65,65,63
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,82,80,77
FEMALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,COMPLETED,52,57,56
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,87,84,85
FEMALE,GROUP D,MASTER'S DEGREE,STANDARD,COMPLETED,70,71,74
MALE,GROUP E,SOME COLLEGE,STANDARD,COMPLETED,84,83,78
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,71,66,60
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,63,67,67
FEMALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,51,72,79
MALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,84,73,69
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,71,74,68
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,74,73,67
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,68,59,62
MALE,GROUP E,HIGH SCHOOL,FREE/REDUCED,COMPLETED,57,56,54
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,82,93,93
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,COMPLETED,57,58,64
FEMALE,GROUP D,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,47,58,67
FEMALE,GROUP A,SOME HIGH SCHOOL,STANDARD,COMPLETED,59,85,80
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,41,39,34
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,62,67,62
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,86,83,86
MALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,69,71,65
MALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,65,59,53
MALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,68,63,54
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,64,66,59
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,61,72,70
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,61,56,55
FEMALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,47,59,50
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,73,66,66
MALE,GROUP C,SOME COLLEGE,FREE/REDUCED,COMPLETED,50,48,53
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,75,68,64
MALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,75,66,73
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,70,56,51
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,89,88,82
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,67,81,79
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,78,81,80
FEMALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,59,73,69
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,73,83,76
MALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,79,82,73
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,67,74,77
MALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,69,66,60
MALE,GROUP C,HIGH SCHOOL,STANDARD,COMPLETED,86,81,80
MALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,47,46,42
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,81,73,72
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,COMPLETED,64,85,85
FEMALE,GROUP E,SOME COLLEGE,STANDARD,NONE,100,92,97
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,65,77,74
MALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,65,58,49
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,53,61,62
MALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,NONE,37,56,47
FEMALE,GROUP D,BACHELOR'S DEGREE,STANDARD,NONE,79,89,89
MALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,53,54,48
FEMALE,GROUP E,BACHELOR'S DEGREE,STANDARD,NONE,100,100,100
MALE,GROUP B,HIGH SCHOOL,STANDARD,COMPLETED,72,65,68
MALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,NONE,53,58,55
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,54,54,45
FEMALE,GROUP E,SOME COLLEGE,STANDARD,NONE,71,70,76
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,77,90,91
MALE,GROUP A,BACHELOR'S DEGREE,STANDARD,COMPLETED,75,58,62
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,84,87,91
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,26,31,38
MALE,GROUP A,HIGH SCHOOL,FREE/REDUCED,COMPLETED,72,67,65
FEMALE,GROUP A,HIGH SCHOOL,FREE/REDUCED,COMPLETED,77,88,85
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,91,74,76
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,83,85,90
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,63,69,74
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,68,86,84
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,59,67,61
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,90,90,91
FEMALE,GROUP D,BACHELOR'S DEGREE,STANDARD,COMPLETED,71,76,83
MALE,GROUP E,BACHELOR'S DEGREE,STANDARD,COMPLETED,76,62,66
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,80,68,72
FEMALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,55,64,70
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,76,71,67
MALE,GROUP B,HIGH SCHOOL,STANDARD,COMPLETED,73,71,68
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,52,59,56
MALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,68,68,61
MALE,GROUP A,HIGH SCHOOL,STANDARD,NONE,59,52,46
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,49,52,54
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,70,74,71
MALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,61,47,56
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,60,75,74
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,64,53,57
MALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,79,82,82
FEMALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,65,85,76
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,64,64,70
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,83,83,90
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,81,88,90
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,54,64,68
MALE,GROUP D,HIGH SCHOOL,STANDARD,COMPLETED,68,64,66
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,54,48,52
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,COMPLETED,59,78,76
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,66,69,68
